lang_id,verb_id,tense_id,sing_1,sing_2,sing_3,plural_1,plural_2,plural_3
1,10,7,was seeing,were seeing,was seeing,were seeing,were seeing,were seeing
1,10,8,would be seeing,would be seeing,would be seeing,would be seeing,would be seeing,would be seeing
1,10,9,have seen,have seen,has seen,have seen,have seen,have seen
1,10,10,will have seen,will have seen,will have seen,will have seen,will have seen,will have seen
1,10,11,had seen,had seen,had seen,had seen,had seen,had seen
1,10,12,would have seen,would have seen,would have seen,would have seen,would have seen,would have seen
1,10,13,have been seeing,have been seeing,has been seeing,have been seeing,have been seeing,have been seeing
1,10,14,will have been seeing,will have been seeing,will have been seeing,will have been seeing,will have been seeing,will have been seeing
1,10,15,had been seeing,had been seeing,had been seeing,had been seeing,had been seeing,had been seeing
1,10,16,would have been seeing,would have been seeing,would have been seeing,would have been seeing,would have been seeing,would have been seeing
1,11,1,come,come,comes,come,come,come
1,11,2,will come,will come,will come,will come,will come,will come
1,11,3,came,came,came,came,came,came
1,11,4,would come,would come,would come,would come,would come,would come
1,11,5,am coming,are coming,is coming,are coming,are coming,are coming
1,11,6,will be coming,will be coming,will be coming,will be coming,will be coming,will be coming
1,11,7,was coming,were coming,was coming,were coming,were coming,were coming
1,11,8,would be coming,would be coming,would be coming,would be coming,would be coming,would be coming
1,11,9,have come,have come,has come,have come,have come,have come
1,11,10,will have come,will have come,will have come,will have come,will have come,will have come
1,11,11,had come,had come,had come,had come,had come,had come
1,11,12,would have come,would have come,would have come,would have come,would have come,would have come
1,11,13,have been coming,have been coming,has been coming,have been coming,have been coming,have been coming
1,11,14,will have been coming,will have been coming,will have been coming,will have been coming,will have been coming,will have been coming
1,11,15,had been coming,had been coming,had been coming,had been coming,had been coming,had been coming
1,11,16,would have been coming,would have been coming,would have been coming,would have been coming,would have been coming,would have been coming
1,12,1,think,think,thinks,think,think,think
1,12,2,will think,will think,will think,will think,will think,will think
1,12,3,thought,thought,thought,thought,thought,thought
1,12,4,would think,would think,would think,would think,would think,would think
1,12,5,am thinking,are thinking,is thinking,are thinking,are thinking,are thinking
1,12,6,will be thinking,will be thinking,will be thinking,will be thinking,will be thinking,will be thinking
1,12,7,was thinking,were thinking,was thinking,were thinking,were thinking,were thinking
1,12,8,would be thinking ,would be thinking,would be thinking,would be thinking,would be thinking,would be thinking
1,12,9,have thought,have thought,has thought,have thought,have thought,have thought
1,12,10,will have thought,will have thought,will have thought,will have thought,will have thought,will have thought
1,12,11,had thought,had thought,had thought,had thought,had thought,had thought
1,12,12,would have thought,would have thought,would have thought,would have thought,would have thought,would have thought
1,12,13,have been thinking,have been thinking,has been thinking,have been thinking,have been thinking,have been thinking
1,12,14,will have been thinking,will have been thinking,will have been thinking,will have been thinking,will have been thinking,will have been thinking
1,12,15,had been thinking,had been thinking,had been thinking,had been thinking,had been thinking,had been thinking
1,12,16,would have been thinking,would have been thinking,would have been thinking,would have been thinking,would have been thinking,would have been thinking
1,13,1,look,look,looks,look,look,look
1,13,2,will look,will look,will look,will look,will look,will look
1,13,3,looked,looked,looked,looked,looked,looked
1,13,4,would look,would look,would look,would look,would look,would look
1,13,5,am looking,are looking,is looking,are looking,are looking,are looking
1,13,6,will be looking,will be looking,will be looking,will be looking,will be looking,will be looking
1,13,7,was looking,were looking,was looking,were looking,were looking,were looking
1,13,8,would be looking,would be looking,would be looking,would be looking,would be looking,would be looking
1,13,9,have looked,have looked,has looked,have looked,have looked,have looked
1,13,10,will have looked,will have looked,will have looked,will have looked,will have looked,will have looked
1,13,11,had looked,had looked,had looked,had looked,had looked,had looked
